,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
99,Indiana, 1301 feet," $115,967 ",40.6 years, 1.76 ,21.9 years, 91.7 ," $26,760 "," 14,194 (100% urban, 0% rural). "," 8,043 "
100,Jeannette, 1040 feet," $90,288 ",40.6 years, 2.41 ,42.3 years, 92.3 ," $43,368 "," 9,400 (100% urban, 0% rural). "," 3,895 "
101,Jefferson Hills,," $211,456 ",40.6 years, 16.6 ,43.6 years, 95.6 ," $82,227 "," 11,232 (93% urban, 7% rural). ", 678 
102,"Johnstown, PA",," $44,900 ",40.6 years, 5.83 ,42.9 years, 89.7 ," $24,739 "," 20,184 (100% urban, 0% rural). "," 3,459 "
103,Kennedy Township,," $189,556 ",38.0 years, 5.44 ,44.5 years, 101.3 ," $70,388 "," 7,152."," 1,314 "
104,Kennett Square, 310 feet," $252,319 ",40.6 years, 1.13 ,36.1 years, 104.8 ," $68,318 "," 6,151 (100% urban, 0% rural). "," 5,458 "
105,King of Prussia, 200 feet," $307,709 ",40.6 years, 8.40 ,39.4 years, 106.6 ," $82,126 "," 19,936. "," 2,372 "
106,"Kingston, PA",," $130,294 ",40.6 years, 2.14 ,46.5 years, 95.2 ," $47,843 "," 12,994 (100% urban, 0% rural). "," 6,060 "
107,Kulpsville, 290 feet," $249,726 ",40.6 years, 3.44 ,42.2 years, 106.3 ," $68,891 "," 8,194. "," 2,384 "
108,"Lancaster, PA", 368 feet," $112,155 ",40.6 years, 7.40 ,30.8 years, 96.1 ," $37,516 "," 59,302 (100% urban, 0% rural). "," 8,016 "
109,Lansdale, 360 feet," $230,887 ",40.6 years, 3.06 ,37.2 years, 105.8 ," $62,744 "," 16,487 (100% urban, 0% rural). "," 5,382 "
110,"Lansdowne, PA", 140 feet," $164,252 ",40.6 years, 1.18 ,39.3 years, 103.6 ," $55,735 "," 10,641 (100% urban, 0% rural). "," 9,040 "
111,Latrobe, 1020 feet," $119,462 ",40.6 years, 2.30 ,42.8 years, 92.6 ," $46,784 "," 8,129 (100% urban, 0% rural). "," 3,537 "
112,Leacock-Leola-Bareville,," $219,311 ",40.1 years, 6.03 ,37.8 years, 103.1 ," $64,519 "," 7,214. "," 1,196 "
113,"Lebanon, PA", 480 feet," $91,250 ",40.6 years, 4.19 ,34.4 years, 94.9 ," $36,409 "," 25,573 (100% urban, 0% rural). "," 6,111 "
114,"Levittown, PA", 40 feet," $230,419 ",40.6 years, 10.2 ,39.8 years, 105.1 ," $72,971 "," 52,983. "," 5,213 "
115,"Lewistown, PA",," $72,671 ",40.6 years, 2.01 ,36.0 years, 86.3 ," $32,129 "," 8,297 (100% urban, 0% rural). "," 4,118 "
116,Linglestown, 520 feet," $181,337 ",40.6 years, 3.74 ,44.7 years, 96.5 ," $80,779 "," 6,334. "," 1,692 "
117,Lionville-Marchwood,," $318,352 ",40.1 years, 2.48 ,37.8 years, 113.8 ," $90,117 "," 6,189. "," 2,499 "
118,Lititz, 387 feet," $190,141 ",40.6 years, 2.32 ,44.6 years, 96.9 ," $55,852 "," 9,397 (100% urban, 0% rural). "," 4,042 "
119,Lock Haven, 564 feet," $105,996 ",40.6 years, 2.51 ,23.3 years, 89.5 ," $30,643 "," 9,862 (100% urban, 0% rural). "," 3,928 "
120,Lower Allen, 380 feet," $180,358 ",40.6 years, 2.34 ,44.0 years, 97.7 ," $61,716 "," 6,694. "," 2,860 "
121,Lower Burrell, 840 feet," $143,738 ",40.6 years, 11.5 ,47.1 years, 93.2 ," $60,435 "," 11,531 (91% urban, 9% rural). ", 998 
122,Maple Glen, 376 feet," $390,498 ",40.6 years, 3.10 ,41.3 years, 108.2 ," $114,542 "," 6,742. "," 2,177 "
123,McCandless Township,," $253,329 ",38.0 years, 16.5 ,40.3 years, 102.4 ," $91,043 "," 27,661."," 1,672 "
124,McKees Rocks, 750 feet," $47,610 ",40.6 years, 1.04 ,37.0 years, 92.9 ," $30,396 "," 6,046 (100% urban, 0% rural). "," 5,823 "
125,McKeesport, 1020 feet," $50,018 ",40.6 years, 5.00 ,42.0 years, 92.7 ," $27,133 "," 19,561 (100% urban, 0% rural). "," 3,911 "
126,"Meadville, PA",," $105,486 ",40.6 years, 4.35 ,36.5 years, 87.5 ," $34,653 "," 13,238 (99% urban, 1% rural). "," 3,043 "
127,"Mechanicsburg, PA", 456 feet," $172,421 ",40.6 years, 2.59 ,41.8 years, 97.9 ," $54,354 "," 8,969 (100% urban, 0% rural). "," 3,466 "
128,"Middletown, PA",," $117,666 ",40.6 years, 2.04 ,36.7 years, 96.8 ," $46,889 "," 8,870 (100% urban, 0% rural). "," 4,354 "
129,"Millersville, PA", 312 feet," $161,922 ",40.6 years, 2.04 ,22.2 years, 98.2 ," $42,923 "," 8,482 (100% urban, 0% rural). "," 4,158 "
130,"Milton, PA", 480 feet," $122,287 ",40.6 years, 3.46 ,42.9 years, 88.3 ," $40,918 "," 6,982 (99% urban, 1% rural). "," 2,019 "
131,Monessen, 920 feet," $78,577 ",40.6 years, 2.90 ,48.0 years, 92.2 ," $38,050 "," 7,529 (100% urban, 0% rural). "," 2,594 "
132,"Monroeville, PA", 1200 feet," $147,100
",40.6 years,,44.2 years, 96.7 ," $56,140"," 28,285 (100% urban, 0% rural).",
133,Montgomeryville, 457 feet," $332,200 ",40.6 years, 4.77 ,40.0 years, 106.0 ," $108,561 "," 12,624. "," 2,646 "
134,"Morrisville, PA",," $209,105 ",40.6 years, 1.77 ,37.8 years, 105.0 ," $61,881 "," 8,631 (100% urban, 0% rural). "," 4,873 "
135,Mount Joy,," $162,230 ",40.6 years, 2.35 ,36.2 years, 96.1 ," $58,214 "," 8,008 (100% urban, 0% rural). "," 3,415 "
136,"Mount Lebanon, PA", 1054 feet," $251,744 ",38.0 years, 6.05 ,41.8 years, 102.2 ," $89,028 "," 31,469."," 5,201 "
137,Mountain Top,," $189,846 ",40.6 years, 68.2 ,43.6 years, 93.5 ," $73,290 "," 10,982. ", 161 
138,Munhall, 860 feet," $89,201 ",40.6 years, 2.31 ,42.0 years, 93.4 ," $50,585 "," 11,305 (100% urban, 0% rural). "," 4,896 "
139,Municipality of Monroeville,," $162,955 ",38.0 years, 19.8 ,42.6 years, 100.8 ," $65,403 "," 27,973."," 1,413 "
140,Municipality of Murrysville,," $259,924 ",38.0 years, 36.9 ,42.8 years, 99.6 ," $97,942 "," 18,536.", 502 
141,Murrysville, 900 feet," $149,700
",40.6 years,,49.4 years, 94.7 ," $56,722"," 20,162 (79% urban, 21% rural).",
142,"Nanticoke, PA", 540 feet," $82,333 ",40.6 years, 3.51 ,41.5 years, 93.9 ," $35,291 "," 10,301 (100% urban, 0% rural). "," 2,937 "
143,Nether Providence Township,," $337,186 ",38.0 years, 4.71 ,41.6 years, 114.6 ," $92,322 "," 13,527."," 2,873 "
144,"New Castle, PA",," $66,285 ",40.6 years, 8.54 ,41.5 years, 85.5 ," $32,353 "," 22,575 (100% urban, 0% rural). "," 2,645 "
145,"New Cumberland, PA", 383 feet," $175,240 ",40.6 years, 1.67 ,41.3 years, 97.7 ," $51,900 "," 7,271 (100% urban, 0% rural). "," 4,343 "
146,New Kensington, 960 feet," $100,936 ",40.6 years, 3.97 ,46.3 years, 92.1 ," $42,061 "," 12,796 (100% urban, 0% rural). "," 3,224 "
147,"Norristown, PA", 179 feet," $160,134 ",40.6 years, 3.53 ,32.6 years, 104.8 ," $45,360 "," 34,484 (100% urban, 0% rural). "," 9,780 "
148,North Versailles, 1180 feet," $110,633 ",38.0 years, 8.11 ,42.3 years, 98.3 ," $44,844 "," 10,603."," 1,308 "
149,"Northampton, PA", 380 feet," $174,127 ",40.6 years, 2.60 ,40.4 years, 100.7 ," $55,737 "," 9,915 (100% urban, 0% rural). "," 3,815 "
