,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
192,State College, 1154 feet," $300,326 ",40.6 years, 4.54 ,22.2 years, 104.7 ," $35,023 "," 42,100 (100% urban, 0% rural). "," 9,270 "
193,Stowe Township,," $89,141 ",38.0 years, 1.98 ,42.1 years, 96.9 ," $43,484 "," 6,391."," 3,232 "
194,"Sunbury, PA", 450 feet," $85,655 ",40.6 years, 2.12 ,38.2 years, 86.4 ," $35,045 "," 9,736 (100% urban, 0% rural). "," 4,585 "
195,Swarthmore, 120 feet," $387,943 ",40.6 years, 1.38 ,31.2 years, 106.3 ," $94,197 "," 6,202 (100% urban, 0% rural). "," 4,484 "
196,Swissvale, 1020 feet," $85,589 ",40.6 years, 1.20 ,41.1 years, 94.0 ," $41,716 "," 8,906 (100% urban, 0% rural). "," 7,429 "
197,Tamaqua, 824 feet," $57,514 ",40.6 years, 9.83 ,38.0 years, 85.3 ," $35,418 "," 6,899 (93% urban, 7% rural). ", 702 
198,"Taylor, PA", 760 feet," $119,967 ",40.6 years, 5.22 ,42.6 years, 95.3 ," $43,495 "," 6,163 (98% urban, 2% rural). "," 1,180 "
199,"Uniontown, PA", 978 feet," $89,209 ",40.6 years, 2.04 ,43.4 years, 92.8 ," $28,204 "," 10,064 (100% urban, 0% rural). "," 4,941 "
200,Upper Providence Township,," $426,763 ",38.0 years, 5.59 ,40.1 years, 116.8 ," $96,537 "," 10,564."," 1,889 "
201,Upper St. Clair,," $292,777 ",40.6 years, 9.75 ,43.9 years, 101.4 ," $114,039 "," 19,229. "," 1,971 "
202,Village Green-Green Ridge,," $233,649 ",40.6 years, 1.83 ,42.1 years, 104.4 ," $69,982 "," 7,822. "," 4,278 "
203,"Warren, PA", 1200 feet," $84,403 ",40.6 years, 2.92 ,42.7 years, 85.4 ," $40,135 "," 9,410 (100% urban, 0% rural). "," 3,218 "
204,"Washington, PA", 1100 feet," $101,760 ",40.6 years, 2.94 ,38.5 years, 93.1 ," $36,806 "," 13,551 (100% urban, 0% rural). "," 4,614 "
205,"Waynesboro, PA", 713 feet," $134,130 ",40.6 years, 3.36 ,38.3 years, 89.6 ," $42,324 "," 10,760 (100% urban, 0% rural). "," 3,205 "
206,Weigelstown, 460 feet," $149,005 ",40.6 years, 5.81 ,40.0 years, 95.6 ," $57,035 "," 12,875. "," 2,215 "
207,"West Chester, PA", 459 feet," $336,775 ",40.6 years, 1.84 ,24.0 years, 109.5 ," $52,803 "," 19,189 (100% urban, 0% rural). "," 10,425 "
208,"West Goshen, PA", 480 feet," $332,735 ",38.0 years, 3.18 ,36.8 years, 115.1 ," $84,213 "," 9,477."," 2,980 "
209,West Mifflin, 1100 feet," $101,678 ",40.6 years, 14.2 ,45.3 years, 93.3 ," $51,922 "," 20,175 (100% urban, 0% rural). "," 1,425 "
210,West Norriton, 230 feet," $249,832 ",38.0 years, 5.86 ,38.7 years, 112.3 ," $76,172 "," 15,390."," 2,627 "
211,West View, 1100 feet," $135,936 ",40.6 years, 1.01 ,37.8 years, 94.7 ," $58,950 "," 6,717 (100% urban, 0% rural). "," 6,656 "
212,"White Oak, PA",," $105,071 ",40.6 years, 6.67 ,53.1 years, 94.2 ," $54,671 "," 7,814 (100% urban, 0% rural). "," 1,172 "
213,"Whitehall, PA", 1257 feet," $154,433 ",40.6 years, 3.28 ,45.3 years, 94.6 ," $61,816 "," 13,896 (100% urban, 0% rural). "," 4,231 "
214,Wilkes-Barre, 550 feet," $76,638 ",40.6 years, 6.85 ,33.9 years, 94.3 ," $31,250 "," 40,814 (100% urban, 0% rural). "," 5,959 "
215,Wilkins Township,," $127,017 ",38.0 years, 2.62 ,46.2 years, 99.5 ," $54,836 "," 6,592."," 2,514 "
216,Wilkinsburg, 1000 feet," $85,261 ",40.6 years, 2.30 ,39.2 years, 94.5 ," $35,017 "," 15,813 (100% urban, 0% rural). "," 6,866 "
217,"Williamsport, PA", 528 feet," $108,184 ",40.6 years, 8.88 ,30.8 years, 93.4 ," $36,108 "," 29,197 (100% urban, 0% rural). "," 3,286 "
218,Willow Grove, 300 feet," $257,471 ",40.6 years, 3.62 ,40.6 years, 106.4 ," $67,028 "," 15,726. "," 4,345 "
219,Willow Street, 485 feet," $198,350 ",40.6 years, 5.41 ,60.3 years, 103.4 ," $61,939 "," 7,578. "," 1,400 "
220,"Wilson, PA",," $130,044 ",40.6 years, 1.24 ,36.3 years, 100.2 ," $51,232 "," 7,827 (100% urban, 0% rural). "," 6,303 "
221,Woodlyn, 50 feet," $194,741 ",40.6 years, 1.65 ,40.5 years, 103.7 ," $59,614 "," 9,485. "," 5,766 "
222,Wyomissing, 320 feet," $232,101 ",40.6 years, 3.82 ,46.2 years, 98.6 ," $77,802 "," 10,472 (100% urban, 0% rural). "," 2,739 "
223,Yeadon, 103 feet," $142,591 ",40.6 years, 1.61 ,38.2 years, 103.0 ," $49,419 "," 11,525 (100% urban, 0% rural). "," 7,150 "
224,"York, PA", 400 feet," $77,773 ",40.6 years, 5.20 ,30.8 years, 94.4 ," $31,379 "," 43,865 (100% urban, 0% rural). "," 8,429 "
