,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
94,"East Rochester, NY",," $98,700 ",38.4 years, 1.35 ,35.9 years, 103.2 ," $49,248 "," 6,699 (100% urban, 0% rural). "," 4,952 "
95,East Rockaway,," $463,438 ",38.4 years, 1.02 ,45.6 years, 157.4 ," $95,832 "," 9,896 (100% urban, 0% rural). "," 9,681 "
96,East Shoreham, 20 feet," $422,265 ",38.4 years, 5.11 ,40.8 years, 155.3 ," $128,042 "," 6,666. "," 1,305 "
97,Eastchester,," $578,097 ",38.4 years, 3.35 ,43.7 years, 157.4 ," $113,809 "," 19,554. "," 5,838 "
98,Eggertsville, 653 feet," $146,400
",38.4 years,,37.1 years, 103.4 ," $54,246"," 15,019.",
99,"Ellicott, NY", 981 feet," $89,359 ",40.7 years, 30.5 ,46.5 years, 90.1 ," $49,615 "," 8,714. ", 286 
100,"Elma, NY",," $232,713 ",40.7 years, 34.5 ,47.4 years, 103.3 ," $79,236 "," 11,317. ", 328 
101,"Elmira, NY", 873 feet," $77,068 ",38.4 years, 7.32 ,34.1 years, 102.7 ," $30,977 "," 28,647 (100% urban, 0% rural). "," 3,916 "
102,Elmont, 43 feet," $381,950 ",38.4 years, 3.41 ,38.3 years, 153.9 ," $95,348 "," 33,198. "," 9,749 "
103,"Elwood, NY", 170 feet," $499,854 ",38.4 years, 4.83 ,42.3 years, 157.1 ," $114,029 "," 11,177. "," 2,316 "
104,"Endicott, NY",," $99,727 ",38.4 years, 3.14 ,39.3 years, 101.6 ," $35,672 "," 13,083 (100% urban, 0% rural). "," 4,170 "
105,Endwell,," $145,855 ",38.4 years, 3.68 ,43.6 years, 101.6 ," $57,962 "," 11,446. "," 3,109 "
106,"Erwin, NY",," $135,331 ",40.7 years, 38.7 ,42.5 years, 92.1 ," $63,272 "," 8,037. ", 208 
107,Esopus,," $210,082 ",40.7 years, 37.2 ,43.6 years, 103.7 ," $69,230 "," 9,041. ", 243 
108,"Evans, NY",," $139,263 ",40.7 years, 41.8 ,43.7 years, 106.0 ," $60,681 "," 16,356. ", 391 
109,"Fairmount, NY", 490 feet," $125,208 ",38.4 years, 3.37 ,42.5 years, 103.5 ," $60,343 "," 10,224. "," 3,035 "
110,Fallsburg, 1162 feet," $149,629 ",40.7 years, 77.6 ,37.1 years, 101.7 ," $45,228 "," 12,870. ", 166 
111,"Farmingdale, NY",," $386,233 ",38.4 years, 1.13 ,47.3 years, 155.6 ," $82,264 "," 8,619 (100% urban, 0% rural). "," 7,627 "
112,"Farmington, NY",," $156,502 ",40.7 years, 39.4 ,37.2 years, 108.3 ," $64,257 "," 11,825. ", 300 
113,Farmingville, 105 feet," $340,566 ",38.4 years, 4.52 ,39.9 years, 151.8 ," $93,616 "," 15,481. "," 3,427 "
114,"Fenton, NY",," $116,177 ",40.7 years, 32.9 ,45.4 years, 98.8 ," $56,566 "," 6,674. ", 203 
115,Floral Park,," $521,629 ",38.4 years, 1.37 ,41.9 years, 156.1 ," $107,530 "," 15,967 (100% urban, 0% rural). "," 11,636 "
116,Fort Drum,," $100,714 ",38.4 years, 25.3 ,23.0 years, 89.0 ," $39,145 "," 12,955. ", 513 
117,Fort Salonga, 31 feet," $687,401 ",38.4 years, 9.01 ,48.0 years, 156.3 ," $129,325 "," 10,008. "," 1,110 "
118,Franklin Square, 68 feet," $456,125 ",38.4 years, 2.89 ,41.3 years, 154.4 ," $99,242 "," 29,320. "," 10,162 "
119,"Fredonia, NY", 728 feet," $131,161 ",38.4 years, 5.19 ,25.0 years, 86.1 ," $47,014 "," 10,792 (99% urban, 1% rural). "," 2,078 "
120,"Freeport, NY",," $325,012 ",38.4 years, 4.59 ,37.7 years, 153.6 ," $71,549 "," 43,304 (100% urban, 0% rural). "," 9,427 "
121,"Fulton, NY", 364 feet," $81,091 ",38.4 years, 3.82 ,39.6 years, 101.5 ," $42,512 "," 11,648 (100% urban, 0% rural). "," 3,049 "
122,Garden City Park,," $584,939 ",38.4 years, 0.97 ,44.7 years, 155.7 ," $108,389 "," 7,806. "," 8,018 "
123,"Garden City, NY",," $818,538 ",38.4 years, 5.34 ,42.7 years, 158.2 ," $163,266 "," 22,616 (100% urban, 0% rural). "," 4,236 "
124,Gates-North Gates,," $124,885 ",35.9 years, 4.65 ,39.0 years, 107.1 ," $50,995 "," 14,965."," 3,215 "
125,"Gates, NY", 240 feet," $127,216 ",40.7 years, 15.2 ,42.8 years, 106.9 ," $55,485 "," 28,400. "," 1,864 "
126,"Geddes, NY",," $144,081 ",40.7 years, 9.24 ,44.3 years, 107.3 ," $58,393 "," 17,118. "," 1,853 "
127,"Geneseo, NY",," $162,675 ",38.4 years, 2.79 ,21.0 years, 104.8 ," $36,374 "," 8,114 (100% urban, 0% rural). "," 2,910 "
128,"Geneva, NY", 494 feet," $94,618 ",38.4 years, 4.26 ,29.8 years, 102.8 ," $37,568 "," 13,160 (100% urban, 0% rural). "," 3,092 "
129,German Flatts,," $98,825 ",40.7 years, 33.7 ,39.8 years, 103.5 ," $50,404 "," 13,258. ", 393 
130,Glen Cove,," $501,257 ",38.4 years, 6.65 ,38.4 years, 158.5 ," $76,435 "," 27,314 (100% urban, 0% rural). "," 4,110 "
131,Glens Falls North,," $215,845 ",38.4 years, 8.09 ,45.8 years, 106.0 ," $61,737 "," 8,443. "," 1,044 "
132,Glens Falls, 348 feet," $155,367 ",38.4 years, 3.83 ,40.4 years, 105.6 ," $47,023 "," 14,428 (100% urban, 0% rural). "," 3,772 "
133,"Glenville, NY",," $181,941 ",40.7 years, 49.9 ,44.2 years, 111.6 ," $73,192 "," 29,480. ", 591 
134,Gloversville,," $80,802 ",38.4 years, 5.09 ,37.9 years, 85.1 ," $34,965 "," 15,122 (100% urban, 0% rural). "," 2,970 "
135,"Granby, NY",," $90,816 ",40.7 years, 44.9 ,40.6 years, 97.4 ," $53,580 "," 6,821. ", 152 
136,"Grand Island, NY",," $197,856 ",40.7 years, 28.5 ,42.8 years, 106.7 ," $85,000 "," 20,374. ", 715 
137,Great Neck Plaza,," $346,325 ",38.4 years, 0.31 ,52.5 years, 163.5 ," $68,873 "," 6,918 (100% urban, 0% rural). "," 22,426 "
138,Great Neck,," $797,748 ",38.4 years, 1.35 ,35.9 years, 165.9 ," $95,830 "," 10,118 (100% urban, 0% rural). "," 7,492 "
139,Greece,," $118,706 ",38.4 years, 4.33 ,44.0 years, 103.3 ," $50,585 "," 14,519. "," 3,352 "
140,Greenburgh,," $532,584 ",40.7 years, 30.5 ,42.8 years, 169.2 ," $113,408 "," 88,400. "," 2,896 "
141,"Greenfield, NY", 580 feet," $229,496 ",40.7 years, 67.4 ,41.5 years, 104.2 ," $68,903 "," 7,775. ", 115 
142,Greenlawn,," $455,150 ",38.4 years, 3.67 ,43.4 years, 149.3 ," $94,935 "," 13,742. "," 3,744 "
143,Guilderland,," $265,761 ",40.7 years, 57.9 ,41.5 years, 114.4 ," $84,384 "," 35,303. ", 609 
144,Halfmoon,," $244,618 ",40.7 years, 32.6 ,40.5 years, 114.3 ," $71,134 "," 21,535. ", 660 
145,"Hamburg, NY", 825 feet," $164,564 ",38.4 years, 2.51 ,40.2 years, 102.0 ," $76,008 "," 9,565 (100% urban, 0% rural). "," 3,806 "
146,"Hamlin, NY",," $129,839 ",40.7 years, 43.4 ,39.9 years, 99.1 ," $60,678 "," 9,045. ", 208 
147,Hampton Bays, 34 feet," $438,502 ",38.4 years, 12.0 ,45.4 years, 158.1 ," $76,654 "," 13,603. "," 1,130 "
148,"Hanover, NY", 1320 feet," $94,215 ",40.7 years, 49.3 ,43.4 years, 91.4 ," $47,387 "," 7,127. ", 145 
149,"Harrison, NY", 60 feet," $817,766 ",38.4 years, 16.8 ,35.5 years, 159.7 ," $111,680 "," 28,151 (93% urban, 7% rural). "," 1,673 "
150,Hastings-on-Hudson, 199 feet," $638,473 ",38.4 years, 1.96 ,45.9 years, 156.8 ," $121,516 "," 7,975 (100% urban, 0% rural). "," 4,066 "
151,"Hastings, NY", 474 feet," $109,211 ",40.7 years, 45.8 ,40.6 years, 98.0 ," $58,665 "," 9,450. ", 206 
152,Hauppauge, 50 feet," $468,304 ",38.4 years, 10.8 ,44.9 years, 155.3 ," $108,810 "," 20,882. "," 1,932 "
153,Haverstraw, 20 feet," $264,582 ",38.4 years, 1.99 ,33.1 years, 143.2 ," $58,328 "," 12,172 (100% urban, 0% rural). "," 6,110 "
154,"Hempstead, NY",," $320,625 ",38.4 years, 3.68 ,33.9 years, 154.3 ," $58,348 "," 55,527 (100% urban, 0% rural). "," 15,087 "
155,"Henrietta, NY", 596 feet," $140,768 ",40.7 years, 35.4 ,30.7 years, 107.6 ," $62,006 "," 42,581. "," 1,203 "
156,Herkimer, 407 feet," $91,047 ",38.4 years, 2.41 ,44.6 years, 100.1 ," $44,136 "," 7,592 (98% urban, 2% rural). "," 3,146 "
157,Hewlett,," $462,706 ",38.4 years, 0.89 ,46.5 years, 155.9 ," $98,502 "," 6,819. "," 7,665 "
158,"Hicksville, NY", 149 feet," $428,962 ",38.4 years, 6.81 ,43.4 years, 154.8 ," $105,141 "," 41,547. "," 6,099 "
159,"Highlands, NY",," $249,289 ",40.7 years, 30.9 ,22.3 years, 146.2 ," $74,088 "," 12,492. ", 404 
160,"Hillcrest, NY",," $361,838 ",38.4 years, 1.29 ,37.8 years, 138.5 ," $89,262 "," 7,558. "," 5,856 "
161,"Holbrook, NY", 118 feet," $370,780 ",38.4 years, 6.82 ,42.3 years, 153.5 ," $100,633 "," 27,195. "," 3,986 "
162,Holtsville, 105 feet," $355,365 ",38.4 years, 6.96 ,42.3 years, 152.3 ," $98,066 "," 19,714. "," 2,834 "
163,Hoosick, 480 feet," $159,788 ",40.7 years, 63.0 ,42.6 years, 111.0 ," $63,504 "," 6,924. ", 110 
164,Hornell, 1164 feet," $70,373 ",38.4 years, 2.73 ,36.5 years, 82.7 ," $40,863 "," 8,404 (100% urban, 0% rural). "," 3,083 "
165,Horseheads, 898 feet," $114,012 ",38.4 years, 3.87 ,43.4 years, 103.8 ," $49,649 "," 6,678 (100% urban, 0% rural). "," 1,725 "
166,Hudson Falls, 294 feet," $128,227 ",38.4 years, 1.84 ,38.1 years, 105.0 ," $44,544 "," 7,225 (100% urban, 0% rural). "," 3,925 "
167,"Hudson, NY",," $193,397 ",38.4 years, 2.17 ,37.6 years, 94.3 ," $32,150 "," 6,576 (100% urban, 0% rural). "," 3,031 "
168,Huntington Station, 216 feet," $362,044 ",38.4 years, 5.43 ,36.6 years, 154.7 ," $77,931 "," 33,029. "," 6,081 "
169,"Huntington, NY",," $576,825 ",38.4 years, 7.53 ,46.9 years, 156.6 ," $120,718 "," 18,046. "," 2,395 "
170,"Hyde Park, NY",," $232,627 ",40.7 years, 37.0 ,39.8 years, 144.6 ," $71,021 "," 21,571. ", 584 
171,Ilion, 410 feet," $85,872 ",38.4 years, 2.48 ,37.7 years, 99.5 ," $44,432 "," 7,890 (100% urban, 0% rural). "," 3,186 "
172,"Inwood, NY",," $377,771 ",38.4 years, 1.70 ,34.9 years, 158.5 ," $48,450 "," 9,792. "," 5,763 "
173,Irondequoit, 385 feet," $120,441 ",38.4 years, 15.2 ,43.9 years, 103.3 ," $56,257 "," 51,692. "," 3,404 "
174,"Irvington, NY", 170 feet," $660,057 ",38.4 years, 2.79 ,44.0 years, 156.4 ," $132,177 "," 6,581 (100% urban, 0% rural). "," 2,360 "
175,Islip, 16 feet," $371,396 ",38.4 years, 5.40 ,41.9 years, 152.3 ," $100,374 "," 18,689. "," 3,460 "
176,"Ithaca, NY",," $241,658 ",38.4 years, 5.46 ,22.0 years, 113.1 ," $31,531 "," 30,720 (100% urban, 0% rural). "," 5,623 "
177,"Jamestown, NY",," $65,835 ",38.4 years, 8.98 ,37.0 years, 83.8 ," $30,214 "," 30,429 (100% urban, 0% rural). "," 3,390 "
178,Jefferson Valley-Yorktown,," $422,628 ",38.4 years, 6.91 ,46.3 years, 150.7 ," $118,007 "," 14,142. "," 2,046 "
179,"Jericho, NY",," $742,796 ",38.4 years, 4.06 ,44.2 years, 157.3 ," $149,222 "," 13,567. "," 3,343 "
180,"Johnson City, NY",," $91,498 ",38.4 years, 4.44 ,35.4 years, 101.4 ," $41,948 "," 14,832 (100% urban, 0% rural). "," 3,339 "
181,"Johnstown, NY",," $103,933 ",38.4 years, 4.86 ,39.4 years, 85.8 ," $46,595 "," 8,389 (100% urban, 0% rural). "," 1,726 "
182,"Kenmore, NY",," $124,538 ",38.4 years, 1.44 ,41.3 years, 101.8 ," $54,176 "," 15,236 (100% urban, 0% rural). "," 10,609 "
183,"Kent, NY", 340 feet," $290,545 ",40.7 years, 40.6 ,42.8 years, 153.6 ," $97,082 "," 13,507. ", 332 
184,"Kings Park, NY", 160 feet," $436,961 ",38.4 years, 5.89 ,46.0 years, 152.9 ," $100,671 "," 17,282. "," 2,933 "
185,"Kingsbury, NY", 305 feet," $144,663 ",40.7 years, 39.9 ,38.5 years, 110.1 ," $49,397 "," 12,671. ", 318 
186,"Kingston, NY",," $170,799 ",38.4 years, 7.35 ,39.1 years, 111.3 ," $45,238 "," 23,557 (100% urban, 0% rural). "," 3,203 "
187,"Kirkland, NY", 520 feet," $165,301 ",40.7 years, 33.8 ,39.1 years, 106.0 ," $67,704 "," 10,315. ", 305 
188,Kiryas Joel, 842 feet," $360,739 ",38.4 years, 1.10 ,13.4 years, 147.4 ," $26,749 "," 22,246 (100% urban, 0% rural). "," 20,255 "
189,"La Grange, NY",," $329,307 ",40.7 years, 39.7 ,42.7 years, 146.8 ," $104,544 "," 15,730. ", 396 
190,Lackawanna,," $92,234 ",38.4 years, 6.12 ,37.0 years, 101.5 ," $36,576 "," 17,955 (100% urban, 0% rural). "," 2,933 "
191,Lake Carmel,," $269,785 ",38.4 years, 5.16 ,43.4 years, 147.2 ," $85,293 "," 8,282. "," 1,604 "
192,Lake Grove, 119 feet," $392,669 ",38.4 years, 2.98 ,40.8 years, 153.6 ," $102,146 "," 11,241 (100% urban, 0% rural). "," 3,769 "
193,Lake Mohegan, 500 feet," $339,955 ",38.4 years, 2.90 ,43.9 years, 152.7 ," $105,704 "," 6,010. "," 2,069 "
194,Lake Ronkonkoma,," $350,843 ",38.4 years, 4.91 ,40.6 years, 151.7 ," $93,139 "," 20,155. "," 4,102 "
195,"Lancaster, NY",," $134,001 ",38.4 years, 2.69 ,40.7 years, 102.0 ," $51,061 "," 10,294 (100% urban, 0% rural). "," 3,823 "
196,Larchmont,," over $1,000,000 ",38.4 years, 1.07 ,37.0 years, 160.8 ," $158,642 "," 6,111 (100% urban, 0% rural). "," 5,723 "
197,"Lawrence, NY",," $894,280 ",38.4 years, 3.85 ,42.4 years, 156.6 ," $145,478 "," 6,553 (96% urban, 4% rural). "," 1,703 "
198,Le Ray,," $153,448 ",40.7 years, 73.7 ,23.8 years, 101.0 ," $44,756 "," 21,782. ", 296 
199,"Lee, NY",," $129,269 ",40.7 years, 45.2 ,44.4 years, 99.1 ," $69,474 "," 6,486. ", 144 
200,"Lenox, NY",," $139,686 ",40.7 years, 36.4 ,40.9 years, 107.0 ," $58,076 "," 9,122. ", 251 
201,"Levittown, NY",," $375,681 ",38.4 years, 6.88 ,41.9 years, 153.8 ," $109,697 "," 51,881. "," 7,545 "
202,Lewisboro, 722 feet," $715,835 ",40.7 years, 27.9 ,44.8 years, 170.7 ," $158,675 "," 12,411. ", 446 
203,"Lindenhurst, NY", 27 feet," $355,262 ",38.4 years, 3.75 ,42.6 years, 153.2 ," $86,196 "," 27,321 (100% urban, 0% rural). "," 7,279 "
204,"Lloyd, NY",," $247,784 ",40.7 years, 31.7 ,40.7 years, 116.6 ," $77,746 "," 10,863. ", 342 
205,"Lockport, NY",," $95,013 ",38.4 years, 8.53 ,39.6 years, 101.4 ," $41,722 "," 20,743 (100% urban, 0% rural). "," 2,432 "
206,"Long Beach, NY",," $476,183 ",38.4 years, 2.14 ,43.6 years, 159.4 ," $87,415 "," 33,664 (100% urban, 0% rural). "," 15,754 "
207,Lynbrook, 21 feet," $442,543 ",38.4 years, 2.00 ,42.6 years, 157.7 ," $84,117 "," 19,558 (100% urban, 0% rural). "," 9,784 "
208,Lysander, 418 feet," $176,191 ",40.7 years, 61.9 ,41.7 years, 106.7 ," $82,497 "," 21,759. ", 351 
209,Mahopac, 666 feet," $377,004 ",38.4 years, 5.30 ,43.8 years, 147.2 ," $94,920 "," 8,369. "," 1,580 "
210,"Malta, NY", 342 feet," $255,515 ",40.7 years, 28.0 ,40.7 years, 113.0 ," $87,755 "," 14,765. ", 527 
211,Malverne,," $453,826 ",38.4 years, 1.05 ,49.1 years, 152.7 ," $109,158 "," 8,570 (100% urban, 0% rural). "," 8,153 "
212,Mamakating,," $171,639 ",40.7 years, 95.9 ,40.9 years, 102.2 ," $57,125 "," 12,085. ", 126 
213,Mamaroneck, 10 feet," $602,431 ",38.4 years, 3.23 ,40.1 years, 160.5 ," $83,335 "," 19,302 (100% urban, 0% rural). "," 5,970 "
214,Manhasset,," $986,738 ",38.4 years, 2.39 ,44.7 years, 163.4 ," $113,476 "," 8,080. "," 3,388 "
215,"Manhattan, NY",," over $1,000,000 ",35.9 years, 23.0 ,35.7 years, 206.2 ," $77,559 "," 1,621,897."," 70,629 "
216,Manorhaven,," $586,610 ",38.4 years, 0.47 ,40.3 years, 163.9 ," $92,486 "," 6,700 (100% urban, 0% rural). "," 14,251 "
217,"Manorville, NY",," $416,510 ",38.4 years, 25.4 ,40.4 years, 151.7 ," $107,924 "," 14,314. ", 564 
218,Marcy, 600 feet," $154,542 ",40.7 years, 33.0 ,39.9 years, 99.9 ," $69,630 "," 8,982. ", 272 
219,"Marlborough, NY",," $289,921 ",40.7 years, 24.8 ,41.3 years, 118.7 ," $73,469 "," 8,808. ", 355 
220,Massapequa Park, 24 feet," $464,274 ",38.4 years, 2.16 ,43.2 years, 156.3 ," $122,356 "," 17,206 (100% urban, 0% rural). "," 7,969 "
221,Massapequa, 26 feet," $506,898 ",38.4 years, 3.65 ,44.3 years, 155.8 ," $127,350 "," 21,685. "," 5,943 "
222,"Massena, NY", 230 feet," $74,455 ",38.4 years, 4.53 ,38.0 years, 84.1 ," $38,243 "," 10,723 (100% urban, 0% rural). "," 2,365 "
223,Mastic Beach, 9 feet," $194,433 ",38.4 years, 4.23 ,36.9 years, 152.1 ," $66,992 "," 14,874 (100% urban, 0% rural). "," 3,515 "
224,Mastic, 32 feet," $243,144 ",38.4 years, 4.48 ,36.5 years, 150.9 ," $76,885 "," 15,481. "," 3,455 "
225,Mattydale, 400 feet," $85,513 ",38.4 years, 1.92 ,36.2 years, 102.8 ," $47,524 "," 6,446. "," 3,365 "
226,Mechanicstown,," $199,577 ",38.4 years, 3.33 ,44.1 years, 137.3 ," $47,767 "," 6,858. "," 2,061 "
227,"Medford, NY", 101 feet," $297,199 ",38.4 years, 10.5 ,40.4 years, 152.8 ," $87,439 "," 24,142. "," 2,293 "
228,"Melville, NY", 160 feet," $642,904 ",38.4 years, 11.3 ,48.8 years, 160.1 ," $130,782 "," 18,985. "," 1,677 "
229,"Mendon, NY",," $262,156 ",40.7 years, 39.8 ,43.6 years, 102.0 ," $92,702 "," 9,152. ", 230 
230,Merrick, 23 feet," $561,224 ",38.4 years, 4.20 ,45.0 years, 156.5 ," $143,765 "," 22,097. "," 5,264 "
231,Middle Island, 80 feet," $272,330 ",38.4 years, 8.25 ,44.2 years, 152.7 ," $71,076 "," 10,483. "," 1,271 "
232,"Middletown, NY", 540 feet," $187,272 ",38.4 years, 5.14 ,35.2 years, 136.9 ," $51,100 "," 27,728 (100% urban, 0% rural). "," 5,395 "
233,Miller Place, 60 feet," $439,119 ",38.4 years, 7.21 ,40.3 years, 151.3 ," $118,652 "," 12,339. "," 1,712 "
234,"Milo, NY",," $124,865 ",40.7 years, 38.4 ,40.4 years, 96.2 ," $46,593 "," 7,006. ", 183 
235,"Mineola, NY",," $458,528 ",38.4 years, 1.86 ,41.8 years, 157.2 ," $93,069 "," 19,028 (100% urban, 0% rural). "," 10,227 "
236,"Monroe, NY", 679 feet," $305,018 ",38.4 years, 3.43 ,35.8 years, 137.5 ," $104,010 "," 8,562 (100% urban, 0% rural). "," 2,498 "
237,Monsey, 550 feet," $572,663 ",38.4 years, 2.21 ,16.7 years, 161.3 ," $38,580 "," 18,412. "," 8,320 "
238,"Monticello, NY", 1510 feet," $84,356 ",38.4 years, 4.07 ,36.3 years, 88.1 ," $26,078 "," 6,651 (100% urban, 0% rural). "," 1,636 "
239,Moreau,," $194,805 ",40.7 years, 42.2 ,41.4 years, 112.2 ," $62,367 "," 14,728. ", 349 
240,"Mount Hope, NY",," $248,924 ",40.7 years, 25.2 ,39.3 years, 127.4 ," $79,885 "," 7,018. ", 279 
241,Mount Ivy, 454 feet," $230,111 ",38.4 years, 1.47 ,36.3 years, 141.0 ," $70,157 "," 6,878. "," 4,690 "
242,Mount Kisco, 289 feet," $412,345 ",38.4 years, 3.13 ,37.2 years, 155.1 ," $68,942 "," 11,103 (100% urban, 0% rural). "," 3,552 "
243,"Mount Pleasant, NY",," $614,089 ",40.7 years, 27.7 ,39.5 years, 172.5 ," $114,386 "," 43,724. "," 1,579 "
244,Mount Sinai, 30 feet," $450,218 ",38.4 years, 5.27 ,41.6 years, 154.5 ," $115,075 "," 12,118. "," 2,300 "
245,"Mount Vernon, NY",," $366,200 ",38.4 years, 4.36 ,40.9 years, 157.0 ," $52,684 "," 68,348"," 15,682 "
246,Myers Corner, 216 feet," $312,698 ",38.4 years, 4.26 ,44.2 years, 138.6 ," $97,666 "," 6,790. "," 1,593 "
247,Nanuet, 300 feet," $403,490 ",38.4 years, 5.42 ,43.6 years, 145.2 ," $93,193 "," 17,882. "," 3,297 "
248,Nesconset,," $465,633 ",38.4 years, 3.83 ,42.8 years, 153.1 ," $119,052 "," 13,387. "," 3,498 "
249,New Cassel,," $336,818 ",38.4 years, 1.47 ,31.7 years, 152.6 ," $78,866 "," 14,059. "," 9,592 "
250,"New Castle, NY",," $952,218 ",40.7 years, 23.2 ,42.3 years, 174.1 ," over $200,000 "," 17,569. ", 758 
251,New City, 163 feet," $481,254 ",38.4 years, 15.6 ,45.0 years, 139.2 ," $119,706 "," 33,559. "," 2,151 "
252,New Hyde Park,," $504,704 ",38.4 years, 0.84 ,40.7 years, 154.6 ," $112,374 "," 9,799 (100% urban, 0% rural). "," 11,609 "
253,New Paltz, 236 feet," $297,108 ",38.4 years, 1.73 ,21.6 years, 116.2 ," $42,333 "," 6,966 (99% urban, 1% rural). "," 4,020 "
254,New Rochelle, 94 feet," $523,300 ",38.4 years, 10.4 ,37.6 years, 156.8 ," $75,757 "," 79,558"," 7,686 "
255,New Scotland,," $243,826 ",40.7 years, 58.1 ,45.2 years, 103.1 ," $84,797 "," 8,648. ", 149 
256,New Square, 540 feet," $347,783 ",38.4 years, 0.36 ,13.9 years, 160.6 ," $21,617 "," 7,691 (100% urban, 0% rural). "," 21,310 "
257,"New Windsor, NY", 100 feet," $223,286 ",38.4 years, 3.76 ,41.9 years, 136.9 ," $68,580 "," 8,922. "," 2,372 "
258,"New York, NY", 30 feet," $569,700 ",38.4 years, 303.3 ,36.2 years, 164.6 ," $58,856 "," 8,537,673"," 28,148 "
259,"Newark, NY", 457 feet," $88,383 ",38.4 years, 5.38 ,42.9 years, 102.7 ," $40,928 "," 8,902 (95% urban, 5% rural). "," 1,654 "
260,"Newburgh, NY", 139 feet," $165,964 ",38.4 years, 3.82 ,28.4 years, 139.0 ," $33,988 "," 28,358 (100% urban, 0% rural). "," 7,420 "
261,Newstead,," $153,371 ",40.7 years, 51.0 ,43.8 years, 100.7 ," $57,077 "," 8,594. ", 169 
262,Niagara Falls, 618 feet," $76,275 ",38.4 years, 14.1 ,39.5 years, 101.3 ," $32,412 "," 49,219 (100% urban, 0% rural). "," 3,502 "
263,"Niagara, NY",," $113,177 ",40.7 years, 9.39 ,43.4 years, 105.5 ," $49,167 "," 8,378. ", 892 
264,North Amityville, 30 feet," $279,318 ",38.4 years, 2.43 ,33.2 years, 151.2 ," $77,653 "," 17,862. "," 7,343 "
265,North Babylon, 25 feet," $346,630 ",38.4 years, 3.37 ,43.0 years, 154.0 ," $95,244 "," 17,509. "," 5,201 "
266,North Bay Shore, 35 feet," $289,800 ",38.4 years, 2.98 ,31.7 years, 151.1 ," $90,839 "," 18,944. "," 6,364 "
267,North Bellmore,," $461,453 ",38.4 years, 2.61 ,42.7 years, 153.7 ," $117,595 "," 19,941. "," 7,644 "
268,North Bellport, 49 feet," $258,251 ",38.4 years, 4.65 ,32.7 years, 154.7 ," $64,137 "," 11,545. "," 2,484 "
269,North Castle,," over $1,000,000 ",40.7 years, 24.1 ,42.0 years, 182.4 ," $166,227 "," 11,841. ", 492 
270,North Elba, 1955 feet," $195,011 ",40.7 years, 151.9 ,39.7 years, 100.5 ," $55,946 "," 8,957. ", 59 
271,North Gates,," $143,100
",38.4 years,,42.6 years, 104.5 ," $54,492"," 9,512.",
272,North Greenbush,," $214,715 ",40.7 years, 18.7 ,43.4 years, 111.8 ," $85,209 "," 12,075. ", 646 
273,"North Hempstead, NY",," $661,092 ",40.7 years, 53.6 ,42.4 years, 176.7 ," $119,111 "," 226,322. "," 4,224 "
274,North Lindenhurst, 45 feet," $348,685 ",38.4 years, 1.90 ,39.7 years, 154.5 ," $69,433 "," 11,652. "," 6,138 "
275,North Massapequa,," $442,125 ",38.4 years, 3.02 ,43.1 years, 153.1 ," $111,352 "," 17,886. "," 5,914 "
276,North Merrick,," $477,959 ",38.4 years, 1.77 ,41.0 years, 156.2 ," $126,834 "," 12,272. "," 6,932 "
277,North New Hyde Park, 101 feet," $563,626 ",38.4 years, 1.98 ,43.6 years, 159.1 ," $115,344 "," 14,899. "," 7,531 "
278,North Patchogue, 49 feet," $289,492 ",38.4 years, 2.13 ,42.1 years, 151.8 ," $90,997 "," 7,246. "," 3,398 "
279,North Syracuse,," $108,371 ",38.4 years, 1.96 ,40.2 years, 103.3 ," $43,640 "," 6,882 (100% urban, 0% rural). "," 3,506 "
280,North Tonawanda, 575 feet," $120,365 ",38.4 years, 10.1 ,43.5 years, 101.6 ," $50,715 "," 30,929 (100% urban, 0% rural). "," 3,062 "
281,North Valley Stream,," $384,666 ",38.4 years, 1.88 ,41.9 years, 154.2 ," $105,708 "," 16,628. "," 8,828 "
282,North Wantagh,," $414,231 ",38.4 years, 1.84 ,44.8 years, 150.0 ," $109,478 "," 11,960. "," 6,486 "
283,"Northport, NY",," $569,940 ",38.4 years, 2.31 ,48.2 years, 154.7 ," $119,577 "," 7,411 (100% urban, 0% rural). "," 3,203 "
284,"Norwich, NY", 1015 feet," $91,470 ",38.4 years, 2.04 ,35.9 years, 84.1 ," $43,804 "," 7,009 (100% urban, 0% rural). "," 3,439 "
285,Nyack,," $456,324 ",38.4 years, 0.77 ,38.6 years, 161.0 ," $63,139 "," 7,002 (100% urban, 0% rural). "," 9,093 "
286,"Oakdale, NY",," $430,281 ",38.4 years, 3.32 ,46.9 years, 154.5 ," $88,488 "," 7,974. "," 2,400 "
287,"Oceanside, NY",," $456,856 ",38.4 years, 5.02 ,44.6 years, 153.4 ," $106,378 "," 32,109. "," 6,399 "
288,"Ogdensburg, NY", 290 feet," $68,233 ",38.4 years, 5.07 ,40.7 years, 82.9 ," $41,030 "," 10,895 (99% urban, 1% rural). "," 2,150 "
289,"Ogden, NY",," $168,310 ",40.7 years, 36.5 ,40.6 years, 107.8 ," $71,910 "," 19,856. ", 543 
