,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
389,Tonawanda,," $102,893 ",38.4 years, 3.79 ,44.0 years, 101.3 ," $49,415 "," 14,976 (100% urban, 0% rural). "," 3,947 "
390,"Troy, NY", 30 feet," $147,095 ",38.4 years, 10.4 ,30.4 years, 107.5 ," $42,564 "," 49,910 (100% urban, 0% rural). "," 4,793 "
391,"Tuckahoe, NY",," $504,588 ",38.4 years, 0.61 ,39.2 years, 162.9 ," $71,421 "," 6,623 (100% urban, 0% rural). "," 10,865 "
392,Ulster,," $187,098 ",40.7 years, 26.8 ,45.7 years, 115.2 ," $64,496 "," 12,327. ", 460 
393,"Uniondale, NY",," $339,743 ",38.4 years, 2.65 ,32.9 years, 154.0 ," $76,283 "," 24,759. "," 9,336 "
394,"Union, NY",," $123,079 ",40.7 years, 35.2 ,41.8 years, 105.9 ," $48,684 "," 56,346. "," 1,602 "
395,University at Buffalo,," $146,400
",38.4 years,,19.5 years, 105.1 ," $54,246"," 6,066.",
396,"Utica, NY",," $94,919 ",38.4 years, 16.3 ,34.0 years, 100.7 ," $34,241 "," 61,332 (100% urban, 0% rural). "," 3,752 "
397,Valley Cottage, 180 feet," $412,313 ",38.4 years, 4.27 ,45.9 years, 142.3 ," $102,906 "," 9,107. "," 2,131 "
398,Valley Stream,," $388,113 ",38.4 years, 3.44 ,39.4 years, 154.1 ," $98,231 "," 37,832 (100% urban, 0% rural). "," 10,995 "
399,"Van Buren, NY", 500 feet," $122,346 ",40.7 years, 35.6 ,43.6 years, 106.1 ," $59,999 "," 13,185. ", 371 
400,"Verona, NY", 501 feet," $128,757 ",40.7 years, 69.3 ,42.3 years, 99.5 ," $63,085 "," 6,293. ", 91 
401,Vestal,," $146,906 ",40.7 years, 52.2 ,30.7 years, 105.4 ," $72,950 "," 28,043. ", 537 
402,"Viola, NY", 560 feet," $574,509 ",38.4 years, 2.71 ,25.9 years, 145.8 ," $68,808 "," 6,868. "," 2,539 "
403,Wading River, 93 feet," $440,558 ",38.4 years, 9.80 ,43.6 years, 150.2 ," $115,471 "," 7,719. ", 788 
404,"Walden, NY",," $208,881 ",38.4 years, 1.97 ,35.3 years, 135.0 ," $70,183 "," 6,855 (100% urban, 0% rural). "," 3,480 "
405,"Walworth, NY", 541 feet," $163,838 ",40.7 years, 33.8 ,39.5 years, 99.1 ," $87,117 "," 9,449. ", 279 
406,Wantagh,," $493,944 ",38.4 years, 3.84 ,43.2 years, 153.4 ," $132,151 "," 18,871. "," 4,910 "
407,Wappinger,," $288,375 ",40.7 years, 27.3 ,40.0 years, 147.1 ," $81,086 "," 27,048. ", 992 
408,"Warwick, NY", 538 feet," $299,516 ",38.4 years, 2.23 ,48.3 years, 137.4 ," $66,718 "," 6,785 (100% urban, 0% rural). "," 3,037 "
409,"Watertown, NY", 478 feet," $136,235 ",38.4 years, 8.96 ,32.0 years, 88.9 ," $37,134 "," 27,590 (100% urban, 0% rural). "," 3,080 "
410,"Watervliet, NY",," $145,848 ",38.4 years, 1.34 ,36.6 years, 107.0 ," $49,678 "," 10,233 (100% urban, 0% rural). "," 7,627 "
411,Wawarsing, 288 feet," $174,195 ",40.7 years, 130.7 ,40.1 years, 103.3 ," $52,934 "," 13,157. ", 101 
412,Wawayanda,," $278,736 ",40.7 years, 35.0 ,39.6 years, 128.2 ," $86,810 "," 7,266. ", 208 
413,West Babylon, 40 feet," $346,424 ",38.4 years, 7.71 ,40.9 years, 153.7 ," $85,776 "," 43,213. "," 5,608 "
414,West Glens Falls, 370 feet," $161,137 ",38.4 years, 4.64 ,42.9 years, 106.0 ," $55,118 "," 7,071. "," 1,522 "
415,West Haverstraw, 110 feet," $271,456 ",38.4 years, 1.54 ,33.7 years, 140.6 ," $65,601 "," 10,417 (100% urban, 0% rural). "," 6,749 "
416,West Hempstead,," $419,351 ",38.4 years, 2.66 ,41.4 years, 154.4 ," $103,494 "," 18,862. "," 7,095 "
417,West Islip,," $421,135 ",38.4 years, 6.20 ,43.4 years, 152.1 ," $115,455 "," 28,335. "," 4,573 "
418,"West Point, NY", 161 feet," over $1,000,000 ",38.4 years, 24.3 ,21.1 years, 220.7 ," $107,739 "," 6,763. ", 278 
419,West Seneca, 600 feet," $149,772 ",38.4 years, 21.4 ,44.9 years, 102.1 ," $61,863 "," 44,711. "," 2,091 "
420,Westbury, 107 feet," $435,439 ",38.4 years, 2.39 ,39.0 years, 155.4 ," $92,736 "," 15,329 (100% urban, 0% rural). "," 6,426 "
421,Westmere,," $241,436 ",38.4 years, 3.18 ,40.7 years, 109.1 ," $71,561 "," 7,284. "," 2,290 "
422,"Westmoreland, NY",," $132,855 ",40.7 years, 43.1 ,44.3 years, 99.3 ," $71,974 "," 6,138. ", 142 
423,"Wheatfield, NY",," $175,767 ",40.7 years, 27.9 ,44.2 years, 106.4 ," $68,100 "," 18,117. ", 649 
424,"White Plains, NY", 140 feet," $522,609 ",38.4 years, 9.80 ,38.0 years, 158.6 ," $85,791 "," 58,035 (100% urban, 0% rural). "," 5,921 "
425,"Whitestown, NY",," $136,954 ",40.7 years, 27.2 ,41.8 years, 104.8 ," $59,158 "," 18,667. ", 686 
426,"Williamson, NY", 450 feet," $126,215 ",40.7 years, 34.6 ,43.1 years, 98.8 ," $68,856 "," 6,984. ", 202 
427,Williston Park, 127 feet," $505,958 ",38.4 years, 0.63 ,40.9 years, 157.0 ," $108,677 "," 7,327 (100% urban, 0% rural). "," 11,670 "
428,Wilna,," $131,268 ",40.7 years, 78.9 ,33.0 years, 100.0 ," $39,046 "," 6,427. ", 81 
429,"Wilton, NY", 350 feet," $259,073 ",40.7 years, 35.9 ,40.9 years, 113.2 ," $83,037 "," 16,173. ", 451 
430,"Woodbury, NY",," $890,415 ",38.4 years, 5.06 ,50.0 years, 159.7 ," $161,883 "," 8,907. "," 1,762 "
431,"Woodmere, NY", 30 feet," $620,250 ",38.4 years, 2.56 ,35.5 years, 155.2 ," $130,284 "," 17,121. "," 6,700 "
432,Wyandanch, 56 feet," $244,583 ",38.4 years, 4.37 ,32.5 years, 151.5 ," $58,783 "," 11,647. "," 2,663 "
433,"Yonkers, NY", 80 feet," $402,500 ",38.4 years, 18.1 ,39.5 years, 156.3 ," $62,049 "," 200,792"," 11,108 "
434,"Yorktown, NY", 500 feet," $432,465 ",40.7 years, 36.7 ,43.6 years, 162.4 ," $118,262 "," 36,081. ", 983 
