,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
202,Whitinsville, 303 feet," $280,738 ",39.5 years, 3.64 ,37.6 years, 126.7 ," $64,173 "," 6,704. "," 1,842 "
203,Whitman, 110 feet," $321,689 ",39.2 years, 6.96 ,38.2 years, 143.6 ," $81,626 "," 14,489. "," 2,083 "
204,"Wilmington, MA", 96 feet," $431,661 ",39.5 years, 17.1 ,42.4 years, 136.8 ," $109,461 "," 22,325. "," 1,303 "
205,"Winchester, MA", 62 feet," $879,780 ",39.5 years, 6.04 ,42.8 years, 139.7 ," $159,771 "," 21,374. "," 3,540 "
206,Winthrop Town,," $472,500
",39.5 years,,43.6 years, 133.1 ," $61,796"," 18,352 (100% urban, 0% rural).",
207,"Winthrop, MA", 36 feet," $505,361 ",36.5 years, 1.99 ,39.9 years, 155.5 ," $83,413 "," 19,298."," 9,709 "
208,Woburn, 100 feet," $413,436 ",39.5 years, 12.7 ,39.9 years, 136.6 ," $89,742 "," 39,272 (100% urban, 0% rural). "," 3,099 "
209,"Worcester, MA", 480 feet," $216,000 ",39.5 years, 37.6 ,34.9 years, 129.4 ," $44,020 "," 184,509"," 4,912 "
210,Wrentham, 253 feet," $462,236 ",39.2 years, 22.2 ,43.6 years, 144.3 ," $114,048 "," 10,955. ", 494 
211,"Yarmouth, MA", 30 feet," $325,505 ",39.2 years, 24.2 ,51.4 years, 128.7 ," $58,844 "," 23,793. ", 981 
