,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
45,"Dighton, MA", 19 feet," $305,336 ",39.2 years, 22.4 ,40.9 years, 129.9 ," $88,955 "," 7,086. ", 317 
46,"Douglas, MA", 582 feet," $289,370 ",39.2 years, 36.4 ,39.3 years, 127.8 ," $87,612 "," 8,471. ", 233 
47,Dracut, 156 feet," $309,476 ",39.2 years, 20.9 ,39.9 years, 141.2 ," $90,324 "," 29,457. "," 1,410 "
48,"Dudley, MA", 670 feet," $250,976 ",39.2 years, 21.1 ,38.3 years, 134.1 ," $70,349 "," 11,390. ", 541 
49,East Bridgewater, 84 feet," $349,936 ",39.2 years, 17.2 ,40.5 years, 142.1 ," $89,018 "," 13,794. ", 800 
50,East Falmouth, 37 feet," $365,981 ",39.5 years, 5.45 ,53.9 years, 121.3 ," $62,508 "," 6,038. "," 1,109 "
51,East Longmeadow, 226 feet," $255,846 ",39.2 years, 13.0 ,45.0 years, 126.2 ," $81,343 "," 15,720. "," 1,212 "
52,Easthampton Town,," $288,700
",39.5 years,,45.6 years, 108.1 ," $64,354"," 16,036 (96% urban, 4% rural).",
53,Easthampton, 170 feet," $247,602 ",36.5 years, 13.4 ,38.6 years, 115.7 ," $63,079 "," 16,324. "," 1,217 "
54,"Easton, MA", 112 feet," $405,797 ",39.2 years, 28.4 ,39.5 years, 142.1 ," $104,961 "," 23,112. ", 813 
55,"Everett, MA", 10 feet," $373,119 ",39.5 years, 3.38 ,34.9 years, 140.3 ," $56,128 "," 44,231 (100% urban, 0% rural). "," 13,072 "
56,"Fairhaven, MA", 15 feet," $263,807 ",39.2 years, 12.4 ,45.3 years, 141.0 ," $63,295 "," 15,873. "," 1,280 "
57,"Fall River, MA", 200 feet," $221,900 ",39.5 years, 31.0 ,39.6 years, 133.3 ," $39,663 "," 88,929"," 2,867 "
58,"Fitchburg, MA", 482 feet," $191,263 ",39.5 years, 27.8 ,34.8 years, 126.9 ," $52,347 "," 40,445 (93% urban, 7% rural). "," 1,457 "
59,Framingham, 165 feet," $395,200 ",39.5 years, 25.1 ,37.8 years, 136.4 ," $74,670 "," 71,583"," 2,850 "
60,Franklin Town,," $446,100
",39.5 years,,40.6 years, 132.3 ," $92,696"," 32,836 (99% urban, 1% rural).",
61,"Franklin, MA", 300 feet," $432,522 ",36.5 years, 26.7 ,34.8 years, 143.7 ," $104,010 "," 32,079. "," 1,200 "
62,"Freetown, MA",," $323,925 ",39.2 years, 36.6 ,42.4 years, 138.3 ," $98,026 "," 8,870. ", 242 
63,"Gardner, MA", 1100 feet," $183,833 ",39.5 years, 22.2 ,40.0 years, 126.6 ," $47,996 "," 20,381 (95% urban, 5% rural). ", 918 
64,"Georgetown, MA", 79 feet," $464,514 ",39.2 years, 12.9 ,41.8 years, 144.3 ," $109,270 "," 8,183. ", 633 
65,"Gloucester, MA", 50 feet," $393,633 ",39.5 years, 26.0 ,49.5 years, 137.6 ," $66,636 "," 29,626 (89% urban, 11% rural). "," 1,141 "
66,"Grafton, MA", 425 feet," $337,787 ",39.2 years, 22.7 ,39.2 years, 137.4 ," $81,086 "," 17,765. ", 781 
67,Greenfield Town,," $230,500
",39.5 years,,42.8 years, 108.1 ," $57,106"," 17,368 (90% urban, 10% rural).",
68,"Greenfield, MA", 250 feet," $188,159 ",36.5 years, 5.74 ,38.4 years, 116.4 ," $43,338 "," 13,768."," 2,400 "
69,"Groveland, MA", 48 feet," $417,673 ",39.2 years, 8.94 ,43.5 years, 144.1 ," $99,106 "," 6,459. ", 722 
70,"Halifax, MA", 90 feet," $319,047 ",39.2 years, 16.1 ,42.8 years, 141.4 ," $84,153 "," 7,518. ", 466 
71,"Hamilton, MA",," $530,874 ",39.2 years, 14.6 ,40.8 years, 149.5 ," $103,166 "," 7,764. ", 532 
72,"Hanover, MA", 60 feet," $518,197 ",39.2 years, 15.6 ,41.8 years, 146.9 ," $108,984 "," 13,879. ", 889 
73,"Harvard, MA", 421 feet," $699,593 ",39.2 years, 26.4 ,42.8 years, 150.1 ," $156,229 "," 6,520. ", 247 
74,Harwich, 55 feet," $387,506 ",39.2 years, 21.0 ,52.6 years, 130.4 ," $61,422 "," 12,243. ", 582 
75,"Haverhill, MA", 27 feet," $280,712 ",39.5 years, 33.3 ,39.2 years, 134.2 ," $65,420 "," 62,488 (99% urban, 1% rural). "," 1,875 "
76,"Holbrook, MA", 212 feet," $303,542 ",39.5 years, 7.35 ,44.1 years, 134.4 ," $69,356 "," 10,791. "," 1,468 "
77,"Holden, MA", 860 feet," $305,257 ",39.2 years, 35.0 ,42.2 years, 134.9 ," $93,066 "," 17,346. ", 496 
78,Holliston, 188 feet," $460,698 ",39.2 years, 18.7 ,42.9 years, 144.6 ," $122,296 "," 13,547. ", 724 
79,"Holyoke, MA", 200 feet," $190,712 ",39.5 years, 21.3 ,34.7 years, 121.5 ," $39,239 "," 40,124 (99% urban, 1% rural). "," 1,885 "
80,"Hudson, MA", 263 feet," $318,996 ",39.5 years, 5.72 ,43.5 years, 134.4 ," $77,164 "," 14,907. "," 2,608 "
81,"Hull, MA", 50 feet," $388,169 ",39.5 years, 3.03 ,52.3 years, 136.9 ," $82,602 "," 10,293. "," 3,399 "
82,"Lakeville, MA", 90 feet," $377,776 ",39.2 years, 29.9 ,42.4 years, 142.6 ," $104,050 "," 10,602. ", 355 
83,"Lancaster, MA", 300 feet," $326,061 ",39.2 years, 27.7 ,38.9 years, 136.3 ," $87,935 "," 8,055. ", 291 
84,"Lawrence, MA", 50 feet," $250,200 ",39.5 years, 6.96 ,31.2 years, 137.1 ," $38,455 "," 80,216"," 11,526 "
85,"Leicester, MA", 1009 feet," $238,304 ",39.2 years, 23.4 ,40.4 years, 132.7 ," $79,666 "," 10,970. ", 470 
86,Leominster, 400 feet," $241,149 ",39.5 years, 28.9 ,41.0 years, 127.4 ," $58,441 "," 41,150 (98% urban, 2% rural). "," 1,425 "
87,"Lexington, MA", 210 feet," $849,846 ",39.5 years, 16.4 ,44.8 years, 140.0 ," $163,571 "," 31,394. "," 1,914 "
88,"Lincoln, MA", 258 feet," over $1,000,000 ",39.2 years, 14.4 ,43.4 years, 169.7 ," $123,723 "," 6,362. ", 443 
89,"Littleton, MA", 229 feet," $479,258 ",39.2 years, 16.6 ,43.0 years, 146.1 ," $111,791 "," 8,924. ", 537 
90,Longmeadow, 160 feet," $331,672 ",39.5 years, 9.02 ,46.8 years, 121.0 ," $109,117 "," 15,784. "," 1,749 "
91,"Lowell, MA", 102 feet," $252,900 ",39.5 years, 13.8 ,31.7 years, 134.8 ," $55,383 "," 110,572"," 8,028 "
92,"Ludlow, MA",," $217,399 ",39.2 years, 27.1 ,42.6 years, 127.8 ," $60,997 "," 21,103. ", 777 
93,Lynnfield, 98 feet," $627,648 ",39.5 years, 10.1 ,46.7 years, 137.2 ," $122,237 "," 11,596. "," 1,143 "
94,"Lynn, MA", 30 feet," $293,500 ",39.5 years, 10.8 ,35.8 years, 137.1 ," $54,711 "," 92,708"," 8,572 "
95,"Malden, MA", 13 feet," $374,445 ",39.5 years, 5.07 ,36.0 years, 139.3 ," $64,290 "," 60,859 (100% urban, 0% rural). "," 11,993 "
96,"Mansfield Center, MA",," $340,110 ",39.5 years, 2.86 ,36.0 years, 132.7 ," $93,754 "," 7,360. "," 2,570 "
97,"Mansfield, MA", 160 feet," $427,352 ",39.2 years, 20.5 ,38.6 years, 142.8 ," $101,592 "," 23,184. "," 1,133 "
98,"Marblehead, MA", 65 feet," $629,452 ",39.5 years, 4.53 ,48.7 years, 138.9 ," $107,535 "," 19,808. "," 4,373 "
99,"Marlborough, MA", 450 feet," $349,592 ",39.5 years, 21.1 ,39.6 years, 135.0 ," $77,276 "," 39,612 (100% urban, 0% rural). "," 1,879 "
100,Mashpee, 55 feet," $352,415 ",39.2 years, 23.5 ,47.5 years, 126.7 ," $75,197 "," 14,006. ", 597 
101,Mattapoisett, 25 feet," $402,162 ",39.2 years, 16.5 ,47.7 years, 146.5 ," $86,295 "," 6,045. ", 367 
102,"Maynard, MA", 186 feet," $361,853 ",39.5 years, 5.24 ,42.3 years, 133.8 ," $96,442 "," 10,106. "," 1,928 "
103,Medfield, 178 feet," $580,577 ",39.5 years, 5.03 ,43.4 years, 135.4 ," $120,717 "," 6,483. "," 1,288 "
104,"Medford, MA", 14 feet," $465,239 ",39.5 years, 8.14 ,35.9 years, 139.9 ," $85,178 "," 57,437 (100% urban, 0% rural). "," 7,057 "
105,"Medway, MA", 200 feet," $453,774 ",39.2 years, 11.5 ,41.2 years, 144.8 ," $109,798 "," 12,752. "," 1,114 "
106,"Melrose, MA", 133 feet," $482,802 ",39.5 years, 4.69 ,40.7 years, 137.4 ," $93,851 "," 27,969 (100% urban, 0% rural). "," 5,958 "
107,"Merrimac, MA", 107 feet," $373,619 ",39.2 years, 8.53 ,43.7 years, 144.7 ," $84,097 "," 6,338. ", 743 
108,Methuen, 115 feet," $311,701 ",39.5 years, 22.4 ,39.5 years, 133.9 ," $75,720 "," 49,112 (100% urban, 0% rural). "," 2,192 "
109,Middleborough Center,," $284,601 ",39.5 years, 4.06 ,34.6 years, 134.8 ," $65,809 "," 7,319. "," 1,801 "
110,Middleborough,," $322,705 ",39.2 years, 69.6 ,41.2 years, 143.1 ," $77,866 "," 23,116. ", 332 
111,"Middleton, MA", 94 feet," $510,055 ",39.2 years, 14.0 ,41.5 years, 143.5 ," $116,627 "," 8,987. ", 643 
112,"Milford, MA", 307 feet," $289,866 ",39.5 years, 9.98 ,38.6 years, 127.7 ," $71,221 "," 25,055. "," 2,512 "
113,"Millbury, MA", 417 feet," $270,835 ",39.2 years, 15.7 ,42.0 years, 135.5 ," $74,420 "," 13,261. ", 843 
114,Millis, 163 feet," $395,724 ",39.2 years, 12.2 ,42.5 years, 145.6 ," $91,781 "," 7,891. ", 649 
115,"Milton, MA", 130 feet," $553,746 ",39.5 years, 13.0 ,38.8 years, 136.7 ," $125,870 "," 27,003. "," 2,071 "
116,"Monson, MA", 407 feet," $235,574 ",39.2 years, 44.3 ,43.4 years, 127.7 ," $67,522 "," 8,560. ", 193 
117,"Montague, MA", 235 feet," $213,792 ",39.2 years, 30.4 ,43.1 years, 116.4 ," $47,275 "," 8,437. ", 278 
118,Nantucket, 30 feet," $962,978 ",39.5 years, 2.46 ,37.3 years, 137.4 ," $94,246 "," 7,446. "," 3,025 "
119,Natick, 180 feet," $474,569 ",39.2 years, 15.1 ,41.1 years, 148.4 ," $109,240 "," 33,006. "," 2,188 "
120,"Needham, MA", 162 feet," $775,395 ",39.5 years, 12.6 ,43.0 years, 138.4 ," $143,295 "," 28,886. "," 2,291 "
121,"New Bedford, MA", 50 feet," $213,500 ",39.5 years, 20.1 ,36.0 years, 132.3 ," $43,241 "," 95,035"," 4,723 "
122,Newburyport, 37 feet," $490,211 ",39.5 years, 8.38 ,49.6 years, 137.7 ," $90,869 "," 17,926 (100% urban, 0% rural). "," 2,138 "
123,"Newbury, MA",," $508,754 ",39.2 years, 24.2 ,46.4 years, 147.4 ," $107,229 "," 6,666. ", 275 
124,"Newton, MA", 100 feet," $884,000 ",39.5 years, 18.1 ,41.1 years, 142.5 ," $135,646 "," 89,041"," 4,932 "
125,"Norfolk, MA", 212 feet," $538,980 ",39.2 years, 14.8 ,42.0 years, 146.0 ," $125,899 "," 11,227. ", 757 
126,"North Adams, MA", 707 feet," $144,937 ",39.5 years, 20.4 ,44.7 years, 107.3 ," $36,674 "," 13,354 (84% urban, 16% rural). ", 653 
127,North Amherst, 187 feet," $396,014 ",39.5 years, 2.11 ,22.3 years, 115.6 ," $37,410 "," 6,819. "," 3,236 "
128,North Andover, 75 feet," $524,739 ",39.2 years, 26.7 ,40.1 years, 149.4 ," $104,209 "," 28,352. "," 1,064 "
129,North Attleborough Center,," $313,049 ",36.5 years, 5.52 ,35.0 years, 141.3 ," $77,228 "," 17,061."," 3,090 "
130,North Attleborough,," $344,888 ",39.2 years, 18.6 ,39.0 years, 140.4 ," $90,125 "," 28,712. "," 1,540 "
131,North Reading, 100 feet," $514,231 ",39.2 years, 13.3 ,42.0 years, 147.2 ," $120,527 "," 14,892. "," 1,124 "
132,"Northampton, MA", 140 feet," $334,768 ",39.5 years, 34.5 ,39.3 years, 111.7 ," $63,537 "," 28,554 (90% urban, 10% rural). ", 829 
133,Northborough, 300 feet," $379,236 ",39.5 years, 3.31 ,42.9 years, 128.8 ," $96,743 "," 6,167. "," 1,862 "
134,Northbridge, 300 feet," $296,557 ",39.2 years, 17.2 ,39.5 years, 136.3 ," $73,034 "," 15,707. ", 914 
135,"Norton, MA", 105 feet," $340,141 ",39.2 years, 28.7 ,38.2 years, 138.8 ," $98,394 "," 19,031. ", 663 
136,Norwell, 81 feet," $658,619 ",39.2 years, 20.9 ,43.8 years, 150.1 ," $128,997 "," 10,506. ", 503 
137,"Norwood, MA", 146 feet," $421,963 ",39.5 years, 10.5 ,40.5 years, 137.1 ," $86,179 "," 28,602. "," 2,728 "
138,"Oxford, MA",," $224,803 ",39.5 years, 3.50 ,39.6 years, 127.5 ," $54,294 "," 6,103. "," 1,742 "
139,Palmer Town,," $198,700
",39.5 years,,41.7 years, 119.1 ," $51,544"," 12,174 (84% urban, 16% rural).",
140,"Peabody, MA", 17 feet," $366,676 ",39.5 years, 16.4 ,45.4 years, 137.0 ," $66,796 "," 52,376 (100% urban, 0% rural). "," 3,195 "
141,"Pembroke, MA", 70 feet," $386,311 ",39.2 years, 21.8 ,40.8 years, 143.5 ," $96,013 "," 17,837. ", 817 
142,"Pinehurst, MA", 104 feet," $401,838 ",39.5 years, 3.82 ,41.3 years, 136.2 ," $108,883 "," 7,152. "," 1,873 "
143,"Pittsfield, MA", 1039 feet," $165,795 ",39.5 years, 40.7 ,43.6 years, 106.8 ," $50,540 "," 43,697 (94% urban, 6% rural). "," 1,073 "
144,"Plainville, MA",," $341,610 ",39.2 years, 11.1 ,40.4 years, 143.4 ," $83,523 "," 8,264. ", 747 
145,"Plymouth, MA", 50 feet," $331,291 ",39.5 years, 2.26 ,41.7 years, 138.2 ," $55,974 "," 7,494. "," 3,318 "
146,"Quincy, MA", 20 feet," $413,700 ",39.5 years, 16.8 ,39.4 years, 140.1 ," $72,146 "," 93,686"," 5,582 "
147,"Randolph, MA", 184 feet," $293,198 ",39.5 years, 10.1 ,42.7 years, 135.2 ," $67,104 "," 32,112. "," 3,189 "
148,"Raynham, MA", 81 feet," $335,197 ",39.2 years, 20.5 ,41.2 years, 140.6 ," $91,762 "," 13,383. ", 653 
149,"Reading, MA", 129 feet," $522,787 ",39.5 years, 9.93 ,41.4 years, 136.2 ," $116,515 "," 24,747. "," 2,493 "
150,Rehoboth, 50 feet," $395,513 ",39.2 years, 46.5 ,43.5 years, 137.8 ," $99,236 "," 11,608. ", 250 
151,"Revere, MA", 20 feet," $380,374 ",39.5 years, 5.91 ,39.4 years, 140.8 ," $55,387 "," 54,157 (100% urban, 0% rural). "," 9,156 "
152,"Rockland, MA", 140 feet," $322,299 ",39.2 years, 10.0 ,40.2 years, 144.2 ," $74,704 "," 17,489. "," 1,745 "
153,"Salem, MA", 9 feet," $336,854 ",39.5 years, 8.10 ,36.9 years, 137.5 ," $63,691 "," 42,824 (100% urban, 0% rural). "," 5,284 "
154,Saugus, 21 feet," $374,318 ",39.5 years, 11.0 ,45.9 years, 135.6 ," $81,705 "," 26,628. "," 2,424 "
155,Seekonk, 50 feet," $321,948 ",39.2 years, 18.3 ,43.8 years, 140.1 ," $85,561 "," 13,722. ", 749 
156,"Shrewsbury, MA", 668 feet," $362,563 ",39.2 years, 20.7 ,40.2 years, 138.3 ," $92,980 "," 35,608. "," 1,718 "
157,"Somerset, MA", 50 feet," $286,967 ",39.5 years, 8.11 ,47.3 years, 131.2 ," $76,660 "," 18,165. "," 2,240 "
